poi_id,name,amenity,main_category,sub_category,priority_level,latitude,longitude,final_status,map_ready,rule1_reason,rule2_reason,rule3_reason,rule4_reason,rule5_reason
BLR_000025,Bharat Petroleum,fuel,Transport & Mobility,Fuel Station,2,12.9356671,77.6144578,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000026,Narayana Hrudayalaya Dental Clinic,hospital,Healthcare,Hospital,1,12.9155759,77.6349897,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000027,State Bank of India,bank,Financial Services,Bank,2,12.9156177,77.6347321,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000028,IDBI Bank,atm,Financial Services,ATM,2,12.9604812,77.6385098,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000029,Dr Ganesh Medical and Diabetic Clinic,hospital,Healthcare,Hospital,1,12.9129006,77.6419101,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000030,Shanti Sagar,restaurant,Food & Beverage,Restaurant,3,12.9606568,77.6385011,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000031,,pharmacy,Healthcare,Pharmacy,1,12.9601717,77.6387672,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000032,,pharmacy,Healthcare,Pharmacy,1,12.9603255,77.638371,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000033,Nandhini,restaurant,Food & Beverage,Restaurant,3,12.9619513,77.6419064,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000034,Axis Bank,atm,Financial Services,ATM,2,12.9601353,77.6431187,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000035,Nandhana,restaurant,Food & Beverage,Restaurant,3,12.9558995,77.6411692,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000036,Sukh Sagar,restaurant,Food & Beverage,Restaurant,3,12.9741824,77.5753745,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000037,Vijaya Bank,bank,Financial Services,Bank,2,12.9602773,77.6373781,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000038,Union Bank of India,bank,Financial Services,Bank,2,12.9606833,77.6381838,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000039,Kotak Mahindra Bank,atm,Financial Services,ATM,2,12.9600367,77.6452495,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000040,Citibank,atm,Financial Services,ATM,2,12.9600398,77.6452145,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000041,Ashwin Pharma,pharmacy,Healthcare,Pharmacy,1,12.9600171,77.6454021,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000042,MedPlus,pharmacy,Healthcare,Pharmacy,1,12.9605409,77.6372314,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000043,,pharmacy,Healthcare,Pharmacy,1,12.9600511,77.6371358,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000044,,pharmacy,Healthcare,Pharmacy,1,12.9586589,77.6375328,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000045,,pharmacy,Healthcare,Pharmacy,1,12.9581727,77.6402029,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000046,Simply Native,restaurant,Food & Beverage,Restaurant,3,12.9651393,77.6383211,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000047,Apollo Pharmacy,pharmacy,Healthcare,Pharmacy,1,12.9686175,77.6489441,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000048,Adyar Ananda Bhavan,restaurant,Food & Beverage,Restaurant,3,12.9543746,77.5930172,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000049,Standard Chartered,atm,Financial Services,ATM,2,12.9853637,77.7081623,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000050,Koshy's,restaurant,Food & Beverage,Restaurant,3,12.9756318,77.6014761,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000051,JBS Hospital,hospital,Healthcare,Hospital,1,12.9207173,77.5745968,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000052,Jayanagar heart Centre,hospital,Healthcare,Hospital,1,12.9231684,77.584433,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000053,,atm,Financial Services,ATM,2,13.0145165,77.5678632,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000054,,atm,Financial Services,ATM,2,13.014655,77.5678658,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000055,Indian Oil,fuel,Transport & Mobility,Fuel Station,2,13.0322135,77.5698943,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000056,Swamy Vivekananda Primary and High School,school,Education,School,2,13.0483112,77.6342169,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000057,Golden Chariot Public School,school,Education,School,2,13.0989262,77.6350463,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000058,Manasa Public School,school,Education,School,2,13.0557708,77.6327504,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000059,M M A Kababs,restaurant,Food & Beverage,Restaurant,3,12.9566296,77.7152069,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000060,,restaurant,Food & Beverage,Restaurant,3,12.9563782,77.7108662,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000061,HP Auto Care,fuel,Transport & Mobility,Fuel Station,2,12.9812136,77.6570884,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000062,United Public School,school,Education,School,2,13.0384174,77.6387738,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000063,Pizza Hut,restaurant,Food & Beverage,Restaurant,3,12.9782249,77.640632,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000064,Konārk,restaurant,Food & Beverage,Restaurant,3,12.9688102,77.6021434,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000065,,atm,Financial Services,ATM,2,13.0376617,77.5352197,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000066,Kamat Nandanvan,restaurant,Food & Beverage,Restaurant,3,13.0492109,77.547547,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000067,State Bank of India,atm,Financial Services,ATM,2,13.0047512,77.5650939,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000068,Axis Bank,atm,Financial Services,ATM,2,13.0056248,77.5622366,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000069,Cubbon Park Police Station,police,Emergency Services,Police Station,1,12.9762399,77.5983458,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000070,Hard Rock Cafe,restaurant,Food & Beverage,Restaurant,3,12.9762256,77.6014809,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000071,Sri Raghavendra,restaurant,Food & Beverage,Restaurant,3,12.9778503,77.5722059,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000072,Canara Bank,atm,Financial Services,ATM,2,12.977709,77.5722837,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000073,Maleshwaram Police station,police,Emergency Services,Police Station,1,12.9966811,77.5696708,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000074,Anand Sagar Punjabi Dhaba,restaurant,Food & Beverage,Restaurant,3,12.9760075,77.5763577,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000075,Mavalli Tiffin Rooms,restaurant,Food & Beverage,Restaurant,3,12.9550389,77.5854279,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000076,Hyderbad Biryani House,restaurant,Food & Beverage,Restaurant,3,12.9665538,77.6141032,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000077,State Bank of India,bank,Financial Services,Bank,2,12.8986538,77.5578162,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000078,Karur Vysya Bank,bank,Financial Services,Bank,2,12.8989528,77.5575938,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000079,Sri Vijayalakshmi Pragathi Hospital,hospital,Healthcare,Hospital,1,13.0371728,77.6409543,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000080,Yuvalok School,school,Education,School,2,13.0371969,77.6427683,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000081,Sinclairs High School,school,Education,School,2,13.0317498,77.6437784,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000082,State Bank of India,atm,Financial Services,ATM,2,13.0254302,77.6417703,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000083,Ginger Greens,restaurant,Food & Beverage,Restaurant,3,13.0259923,77.6405519,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000084,Canara Bank,bank,Financial Services,Bank,2,13.0169379,77.5645125,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000085,MedPlus,pharmacy,Healthcare,Pharmacy,1,13.0310427,77.6353019,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000086,Canara Bank,bank,Financial Services,Bank,2,13.0313492,77.6355039,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000087,Pizza Hut,restaurant,Food & Beverage,Restaurant,3,13.0261391,77.6362268,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000088,ICICI Bank,bank,Financial Services,Bank,2,13.0247406,77.6369933,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000089,Syndicate Bank,atm,Financial Services,ATM,2,13.0217371,77.6370282,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000090,Sathya Hospital,hospital,Healthcare,Hospital,1,13.0185503,77.6364728,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000091,Sathya Medicals,pharmacy,Healthcare,Pharmacy,1,13.0183245,77.6364269,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000092,Hallimane,restaurant,Food & Beverage,Restaurant,3,12.9955258,77.5717703,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000093,State Bank of India,bank,Financial Services,Bank,2,12.9730205,77.5804826,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000094,Bank of India,bank,Financial Services,Bank,2,12.9738444,77.578582,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000095,Indian Bank,bank,Financial Services,Bank,2,12.973729,77.578957,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000096,Sacred Hearts Girls School,school,Education,School,2,12.9694218,77.6033897,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000097,Adiga's,restaurant,Food & Beverage,Restaurant,3,13.0055704,77.5713507,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000098,,atm,Financial Services,ATM,2,12.9841356,77.7292427,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000099,,atm,Financial Services,ATM,2,12.9923765,77.7129548,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000100,Gopalan International Schoool,school,Education,School,2,12.9853135,77.7183757,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000101,Srinivasa Medicals,pharmacy,Healthcare,Pharmacy,1,12.9919585,77.7178824,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000102,Yo China,restaurant,Food & Beverage,Restaurant,3,12.9504549,77.6999246,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000103,,restaurant,Food & Beverage,Restaurant,3,12.9506894,77.5786753,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000104,,restaurant,Food & Beverage,Restaurant,3,12.9505258,77.5785913,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000105,,restaurant,Food & Beverage,Restaurant,3,12.9507057,77.5784906,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000106,,restaurant,Food & Beverage,Restaurant,3,12.9522306,77.5897955,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000107,Canara Bank,atm,Financial Services,ATM,2,12.9532525,77.57754,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000108,Hoodi High School,school,Education,School,2,12.9934221,77.7167666,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000109,Chord Road Hospital Pvt Ltd,hospital,Healthcare,Hospital,1,12.9981215,77.5404836,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000110,Indian Oil,fuel,Transport & Mobility,Fuel Station,2,12.9967798,77.5404068,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000111,Bharat Petroleum,fuel,Transport & Mobility,Fuel Station,2,12.9966627,77.5400464,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000112,ICICI Bank,atm,Financial Services,ATM,2,12.9929911,77.5390937,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000113,State Bank of India,atm,Financial Services,ATM,2,12.9918012,77.5379737,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000114,Guru Sagar Hotel,restaurant,Food & Beverage,Restaurant,3,12.9951833,77.5396211,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000115,,pharmacy,Healthcare,Pharmacy,1,13.0360931,77.5317332,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000116,Jalahalli Police Station,police,Emergency Services,Police Station,1,13.0486481,77.5495673,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000117,State Bank of India,bank,Financial Services,Bank,2,12.9990578,77.5695202,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000118,Hav Mor,restaurant,Food & Beverage,Restaurant,3,13.02807,77.5729018,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000119,Carmel High School,school,Education,School,2,12.9885908,77.5442935,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000120,Pristline Hospital,hospital,Healthcare,Hospital,1,12.9978931,77.5436127,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000121,Canara Bank,atm,Financial Services,ATM,2,13.0493097,77.5928667,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000122,Hyderabad House,restaurant,Food & Beverage,Restaurant,3,12.932679,77.6135844,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000123,Nandhini Andhra Hotel,restaurant,Food & Beverage,Restaurant,3,12.9932643,77.5957899,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000124,Stella Maris School,school,Education,School,2,13.0064539,77.5780313,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000125,Pai Vihar,restaurant,Food & Beverage,Restaurant,3,12.9930635,77.5959522,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000126,Bharat Petroleum,fuel,Transport & Mobility,Fuel Station,2,13.0096888,77.5624992,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000127,ICICI Bank,bank,Financial Services,Bank,2,12.996974,77.5678633,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000128,Vishnu Sagar,restaurant,Food & Beverage,Restaurant,3,12.9901236,77.5722985,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000129,ICICI Bank,atm,Financial Services,ATM,2,12.9940976,77.571267,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000130,Corporation Bank,bank,Financial Services,Bank,2,12.9933312,77.57187,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000131,MintLeaf,restaurant,Food & Beverage,Restaurant,3,12.9603346,77.6382904,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000132,Emirates,restaurant,Food & Beverage,Restaurant,3,13.0192135,77.5572955,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000133,State Bank of India,atm,Financial Services,ATM,2,13.018555,77.558819,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000134,Madrasa-e Arabiya,school,Education,School,2,12.9430867,77.5994637,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000135,"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited",hospital,Healthcare,Hospital,1,12.9376734,77.5802836,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000136,Golconda Chimney,restaurant,Food & Beverage,Restaurant,3,12.9558807,77.7127803,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000137,Hindustan Petroleum,fuel,Transport & Mobility,Fuel Station,2,13.0436252,77.5536883,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000138,Bharath,restaurant,Food & Beverage,Restaurant,3,13.0521546,77.5515881,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000139,Sri Manjunath Medical & General stores,pharmacy,Healthcare,Pharmacy,1,12.9248306,77.6642849,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000140,Wah Paratha,restaurant,Food & Beverage,Restaurant,3,12.9262764,77.6698353,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000141,Indian Oil,fuel,Transport & Mobility,Fuel Station,2,12.9571863,77.5862334,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000142,Dava Sagar,pharmacy,Healthcare,Pharmacy,1,13.0257078,77.6517029,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000143,Apollo Pharmacy,pharmacy,Healthcare,Pharmacy,1,13.0230704,77.6508206,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000144,Karnataka Bank,bank,Financial Services,Bank,2,13.0218507,77.6501901,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000145,Ganesh Darshan,restaurant,Food & Beverage,Restaurant,3,12.9309204,77.5840319,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000146,Upahara Darshini,restaurant,Food & Beverage,Restaurant,3,12.9330581,77.584422,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000147,Nagarjuna Chimney,restaurant,Food & Beverage,Restaurant,3,12.9330431,77.5843044,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000148,La Casa,restaurant,Food & Beverage,Restaurant,3,12.9261789,77.5848245,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000149,The Only Place,restaurant,Food & Beverage,Restaurant,3,12.9732444,77.6033899,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000150,Durga Restaurant,restaurant,Food & Beverage,Restaurant,3,13.0489683,77.5440769,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000151,Indian Coffee House,restaurant,Food & Beverage,Restaurant,3,12.9745397,77.6052505,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000152,Bank of India,bank,Financial Services,Bank,2,13.0016893,77.5694475,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000153,Bank of India,atm,Financial Services,ATM,2,13.0016506,77.5694522,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
